name,5,10,15,20,25,30
Aziz Ansari,6,6,6,6,5,5
Grace,3,1,2,3,3,4
Ashleigh Banfield,absent,6,3,4,6,5
Caitlin Flanagan,absent,6,3,3,3,5
Hollywood,absent,absent,absent,absent,absent,4
Harvey Weinstein,1,2,1,1,1,1
Samantha Bee,absent,absent,absent,absent,4,5
Donald Trump,2,2,1,2,2,2
James Franco,4,3,4,4,4,3
Oprah Winfrey,7,5,5,5,5,4
Seth Meyers,5,4,4,4,4,3
Katie Way,absent,absent,absent,2,2,3
Babe.net,4,4,3,3,3,2
Guillermo del Toro,5,4,4,4,4,4
Margaret Atwood,4,4,5,6,6,6
Andrew Sullivan,absent,4,4,4,4,3
Kevin Spacy,3,2,1,1,1,1
Atlantic,absent,7,7,7,7,7
Bari Weiss,absent,absent,3,5,5,5
Natalie Portman,5,4,4,4,4,4
Bob Saget,absent,absent,absent,2,2,1
Matt Lauer,absent,absent,1,2,2,1
New York Times,absent,3,7,7,7,7
